iter	Passed	Remaining
0	184	18220
1	192	9410
2	199	6437
3	207	4982
4	215	4095
5	223	3508
6	233	3097
7	241	2781
8	250	2533
9	258	2327
10	267	2161
11	275	2022
12	284	1904
13	293	1803
14	303	1717
15	310	1631
16	318	1555
17	326	1486
18	333	1423
19	341	1366
20	350	1317
21	358	1270
22	366	1226
23	373	1183
24	382	1146
25	389	1109
26	397	1075
27	405	1042
28	413	1011
29	422	986
30	430	959
31	438	931
32	447	907
33	455	884
34	463	860
35	471	838
36	480	817
37	488	796
38	495	775
39	504	756
40	512	736
41	520	718
42	528	700
43	536	682
44	544	664
45	551	647
46	559	630
47	566	613
48	574	597
49	581	581
50	589	566
51	597	551
52	605	537
53	613	522
54	622	509
55	630	495
56	639	482
57	646	468
58	655	455
59	664	443
60	672	430
61	680	416
62	687	403
63	695	391
64	704	379
65	711	366
66	720	354
67	727	342
68	734	330
69	742	318
70	750	306
71	757	294
72	765	283
73	772	271
74	779	259
75	787	248
76	795	237
77	803	226
78	827	219
79	901	225
80	914	214
81	925	203
82	936	191
83	950	181
84	979	172
85	994	161
86	1003	149
87	1013	138
88	1093	135
89	1212	134
90	1246	123
91	1256	109
92	1266	95
93	1275	81
94	1284	67
95	1293	53
96	1302	40
97	1311	26
98	1320	13
99	1329	0
