mass,mass_error_min,mass_sini,mass_sini_error_min,mass_sini_error_max,radius,radius_error_min,radius_error_max,orbital_period,orbital_period_error_min,orbital_period_error_max,semi_major_axis,semi_major_axis_error_min,semi_major_axis_error_max,eccentricity,eccentricity_error_min,eccentricity_error_max,inclination,inclination_error_min,inclination_error_max,angular_distance,discovered,omega,omega_error_min,omega_error_max,tperi,tperi_error_min,tperi_error_max,tconj,tconj_error_min,tconj_error_max,tzero_tr,tzero_tr_error_min,tzero_tr_error_max,tzero_tr_sec,tzero_tr_sec_error_min,tzero_tr_sec_error_max,lambda_angle,lambda_angle_error_min,lambda_angle_error_max,impact_parameter,impact_parameter_error_min,impact_parameter_error_max,tzero_vr,tzero_vr_error_min,tzero_vr_error_max,k,k_error_min,k_error_max,temp_calculated,temp_calculated_error_min,temp_calculated_error_max,temp_measured,hot_point_lon,geometric_albedo,geometric_albedo_error_min,geometric_albedo_error_max,log_g,ra,dec,mag_v,mag_i,mag_j,mag_h,mag_k,star_distance,star_distance_error_min,star_distance_error_max,star_metallicity,star_metallicity_error_min,star_metallicity_error_max,star_mass,star_mass_error_min,star_mass_error_max,star_radius,star_radius_error_min,star_radius_error_max,star_age,star_age_error_min,star_age_error_max,star_teff,star_teff_error_min,star_teff_error_max,updated_year,updated_month,updated_day,updated_hour,updated_dayofweek,updated_is_weekend
5.743,0.289,6.383,0.078,0.078,1.152,0.009,0.009,1075.4,0.7,0.8,2.051,0.087,0.079,0.104,0.008,0.009,86.116,20.53,19.957,0.066339,2000,112.816,5.448,5.254,2451492.0,17.0,17.0,2454965.287,0.001,0.002,2454964.609,0.001,0.001,2454717.65,0.0007,0.00041,8.0,11.0,11.0,0.41,0.23,0.23,0.35,0.1,0.1,114.583,1.196,1.067,1000.0,20.0,10.0,1050.0,69.0,0.16,0.03,0.03,3.36,26.2326,20.08315,6.29,7.96,13.391,13.527,12.826,32.56,0.88,0.88,0.1,0.06,0.06,1.13,0.03,0.03,1.79,0.17,0.17,6.9,0.6,0.6,5600.0,80.0,80.0,2024,6,14,0,4,False
0.8,0.005,0.033,0.005,0.004,0.178,0.009,0.009,4.4,0.0004,0.0002,0.054,0.002,0.002,0.376,0.254,0.11,89.95,0.2,0.5,2e-05,2022,279.492,67.524,30.206,2457375.59,3.0,11.0,2454965.287,0.001,0.002,2454964.609,0.001,0.001,2454717.65,0.0007,0.00041,8.0,11.0,11.0,0.41,0.23,0.23,0.35,0.1,0.1,4.157,1.0,1.0,1000.0,20.0,10.0,1050.0,69.0,0.16,0.03,0.03,3.36,30.0381648,3.097014011,5.88,7.96,5.204,4.63,4.494,31.7627,0.10695,0.10695,0.31,0.1,0.1,1.1,0.133,0.133,1.801,0.0725,0.0725,4.37,4.0,1.0,5986.0,105.437,105.437,2024,6,14,0,4,False
9.866,1.781,1.9,0.2,0.05,0.178,0.009,0.009,36336.7,6039.4,9726.0,22.21,2.766,3.866,0.174,0.154,0.11,47.738,11.804,12.651,2e-05,2022,79.772,31.067,15.493,2457375.59,3.0,11.0,2454965.287,0.001,0.002,2454964.609,0.001,0.001,2454717.65,0.0007,0.00041,8.0,11.0,11.0,0.41,0.23,0.23,0.35,0.1,0.1,42.503,0.586,1.868,1000.0,20.0,10.0,1050.0,69.0,0.16,0.03,0.03,3.36,30.0381648,3.097014011,5.88,7.96,5.204,4.63,4.494,31.7627,0.10695,0.10695,0.31,0.1,0.1,1.1,0.133,0.133,1.801,0.0725,0.0725,4.37,4.0,1.0,5986.0,105.437,105.437,2024,6,14,0,4,False
0.8,1.1,11.0873,1.1,1.1,0.178,0.009,0.009,516.22,3.25,3.25,1.54,0.07,0.07,0.08,0.03,0.03,89.95,0.2,0.5,0.012887,2009,117.63,21.06,21.06,2452861.05,2.06,2.06,2454965.287,0.001,0.002,2454964.609,0.001,0.001,2454717.65,0.0007,0.00041,8.0,11.0,11.0,0.41,0.23,0.23,0.35,0.1,0.1,189.7,7.15,7.15,1000.0,20.0,10.0,1050.0,69.0,0.16,0.03,0.03,3.36,229.275,71.8238889,5.02,7.96,13.391,13.527,12.826,119.5,6.9,6.9,0.04,0.04,0.04,1.8,0.25,0.25,24.08,1.84,1.84,1.56,0.54,0.54,4340.0,70.0,70.0,2023,3,3,0,4,False
0.8,0.23,4.684,0.23,0.23,0.178,0.009,0.009,185.84,0.23,0.23,0.83,0.001,0.001,0.0,0.03,0.0,89.95,0.2,0.5,0.010864,2008,90.0,30.0,40.0,2452861.4,1.5,1.5,2454965.287,0.001,0.002,2454964.609,0.001,0.001,2454717.65,0.0007,0.00041,8.0,11.0,11.0,0.41,0.23,0.23,0.35,0.1,0.1,100.0,1.3,1.3,1000.0,20.0,10.0,1050.0,69.0,0.16,0.03,0.03,3.36,352.8208333,39.2361111,5.22,4.1,3.02,2.61,2.33,76.4,4.1,4.1,-0.24,0.1,0.1,2.2,0.2,0.2,11.0,1.0,1.0,4.37,4.0,1.0,4813.0,20.0,20.0,2024,7,30,0,1,False
8.9,1.7,4.95,0.2,0.05,0.178,0.009,0.009,1767.56,0.22,0.22,2.839,0.041,0.039,0.3683,0.0029,0.0029,146.7,9.74,4.584,0.153039,2002,22.3,0.4,0.4,2451368.0,5.0,5.0,2454965.287,0.001,0.002,2454964.609,0.001,0.001,2454717.65,0.0007,0.00041,8.0,11.0,11.0,0.41,0.23,0.23,0.35,0.1,0.1,90.38,0.15,0.15,1000.0,20.0,10.0,1050.0,69.0,0.16,0.03,0.03,3.36,242.5958333,43.8216667,6.67,7.96,13.391,13.527,12.826,18.1,1.0,1.0,0.43,0.08,0.08,0.9,0.04,0.04,0.708,0.085,0.085,5.1,4.0,1.0,5311.0,87.0,87.0,2025,6,12,0,3,False
7.9,1.2,7.12,0.2,0.05,0.178,0.009,0.009,52160.0,1028.0,1028.0,20.0,4.9,12.0,0.52,0.12,0.16,116.3,9.167,24.64,0.381215,2006,172.5,4.584,4.011,2451779.0,33.0,33.0,2454965.287,0.001,0.002,2454964.609,0.001,0.001,2454717.65,0.0007,0.00041,8.0,11.0,11.0,0.41,0.23,0.23,0.35,0.1,0.1,50.8,0.4,0.4,1000.0,20.0,10.0,1050.0,69.0,0.16,0.03,0.03,3.36,242.5958333,43.8216667,6.67,7.96,13.391,13.527,12.826,18.1,1.0,1.0,0.43,0.08,0.08,0.9,0.04,0.04,0.708,0.085,0.085,5.1,4.0,1.0,5311.0,87.0,87.0,2025,6,12,0,3,False
0.8,0.08,1.64,0.08,0.08,0.178,0.009,0.009,799.5,0.6,0.6,1.68,0.03,0.03,0.689,0.011,0.011,89.95,0.2,0.5,0.078468,1996,83.4,2.1,2.1,2450539.3,1.6,1.6,2454965.287,0.001,0.002,2454964.609,0.001,0.001,2454717.65,0.0007,0.00041,8.0,11.0,11.0,0.41,0.23,0.23,0.35,0.1,0.1,50.5,1.6,1.6,1000.0,20.0,10.0,1050.0,69.0,0.16,0.03,0.03,3.36,295.4625,50.5175,6.2,7.96,13.391,13.527,12.826,21.41,0.24,0.24,0.08,0.04,0.04,1.01,0.04,0.04,0.98,0.13,0.13,8.0,1.8,1.8,5766.0,60.0,60.0,2024,7,28,0,6,True
0.8,0.36,10.3,0.36,0.36,0.178,0.009,0.009,993.3,3.2,3.2,2.6,0.001,0.001,0.08,0.01,0.01,89.95,0.2,0.5,0.035568,2008,166.1,6.5,6.5,2451672.0,18.0,18.0,2454965.287,0.001,0.002,2454964.609,0.001,0.001,2454717.65,0.0007,0.00041,8.0,11.0,11.0,0.41,0.23,0.23,0.35,0.1,0.1,119.4,1.3,1.3,1000.0,20.0,10.0,1050.0,69.0,0.16,0.03,0.03,3.36,314.6083333,10.8391667,5.52,7.96,4.03,3.44,3.67,73.1,3.5,3.5,-0.052,0.023,0.023,2.3,0.04,0.04,8.5,0.02,0.02,4.37,4.0,1.0,4979.0,18.0,18.0,2024,8,2,0,4,False
0.8,0.02,1.59,0.02,0.02,0.178,0.009,0.009,258.19,0.07,0.07,0.81,0.02,0.02,0.233,0.002,0.002,89.95,0.2,0.5,0.036486,1999,252.7,0.5,0.5,10071.0,0.8,0.8,2454965.287,0.001,0.002,2454964.609,0.001,0.001,2454717.65,0.0007,0.00041,8.0,11.0,11.0,0.41,0.23,0.23,0.35,0.1,0.1,2.7,1.0,1.0,1000.0,20.0,10.0,1050.0,69.0,0.16,0.03,0.03,3.36,228.3666667,-25.3091667,6.45,7.96,13.391,13.527,12.826,22.2,1.1,1.1,0.25,0.02,0.02,1.07,0.08,0.08,1.25,0.04,0.04,9.7,3.7,3.7,5740.0,23.0,23.0,2024,5,28,0,1,False
